Uuid,Void/Retire,Same as mappings,Fully specified name:en,Fully specified name:km,Short name:en,Short name:km,Description:en,Description:km_KH,Data class,Data type,Answers,Members,_version:nested_mappings,_order:1000
4e912f8d-0b10-473a-9a40-4deb3054adb1,,,Cambodia_Khmer,Cambodia_Khmer,Khmer,ខ្មែរ,,,Misc,Text,,,,
edde8ddf-8996-40fa-8208-05f0303fef49,,,Cambodia_Cham,Cambodia_Cham,Cham,ចាម,,,Misc,Text,,,,
d048ddb7-e3c3-4e8e-8ad1-0baaca6c227b,,,Cambodia_Kuy,Cambodia_Kuy,Kuy,កួយ,,,Misc,Text,,,,
3c38e65e-071c-4e6d-a82f-ad045a9e4b70,,,Cambodia_Phnong,Cambodia_Phnong,Phnong,ព្នង,,,Misc,Text,,,,
85d83aa8-520d-4c7f-acc6-2d4d5e1df4fb,,,Cambodia_Tampuan,Cambodia_Tampuan,Tampuan,ទំពួន,,,Misc,Text,,,,
fa42c8e7-7721-428c-991e-f1d0de50cf2f,,,Cambodia_Jarai,Cambodia_Jarai,Jarai,ចារ៉ាយ,,,Misc,Text,,,,
646feaea-f79a-4e8d-a248-c8c2f8873982,,,Cambodia_Krung,Cambodia_Krung,Krung,គ្រឹង,,,Misc,Text,,,,
feb4b3d0-aef8-4b5d-b76e-8490b8ddb51b,,,Cambodia_Prov,Cambodia_Prov,Prov,ព្រៅ,,,Misc,Text,,,,
75225391-cee8-414d-ae06-e6f9ea0e5581,,,Cambodia_Kavet,Cambodia_Kavet,Kavet,កាវែត,,,Misc,Text,,,,
666d7781-a578-47a9-93ad-13dacecfbe3c,,,Cambodia_Kachok,Cambodia_Kachok,Kachok,កាចក់,,,Misc,Text,,,,
53f26515-7ba7-4c45-b388-297640531283,,,Cambodia_Stieng,Cambodia_Stieng,Stieng,ស្ទៀង,,,Misc,Text,,,,
e3c2cbd5-a34a-4ae5-85df-5ce17fdc0155,,,Cambodia_Kraol,Cambodia_Kraol,Kraol,ក្រោល,,,Misc,Text,,,,
4ff56e7c-c680-4646-b6ca-18e2ac3bca26,,,Cambodia_Mil (Kachrouk),Cambodia_Mil (Kachrouk),Mil (Kachrouk),មិល (កាជ្រូក),,,Misc,Text,,,,
190bdb06-9bd3-463d-beac-e11383128e37,,,Cambodia_Thmon,Cambodia_Thmon,Thmon,ថ្មូន,,,Misc,Text,,,,
e4783760-6e9c-483f-81a5-cfabe73ce358,,,Cambodia_Khounh,Cambodia_Khounh,Khounh,ខោញ,,,Misc,Text,,,,
9a88a845-f123-4c7d-8249-4c38729f8f3d,,,Cambodia_Somray,Cambodia_Somray,Somray,សំរ៉ាយ,,,Misc,Text,,,,
eb726715-96f6-40d6-b1d4-257afb9fc23f,,,Cambodia_Por,Cambodia_Por,Por,ព័រ,,,Misc,Text,,,,
cb4ab520-711e-47e6-8a1e-57c50b791d10,,,Cambodia_Sa Ong (Suoy),Cambodia_Sa Ong (Suoy),Sa Ong (Suoy),សាអុង (សួយ),,,Misc,Text,,,,
70a6879a-74f7-4b43-b9f6-fb7b3ee076eb,,,Cambodia_Sa'och,Cambodia_Sa'och,Sa'och,ស្អូច,,,Misc,Text,,,,
844dd07a-4bc5-4bf9-95ba-340036cb4e11,,,Cambodia_Lao,Cambodia_Lao,Lao,ឡាវ,,,Misc,Text,,,,
a60eba03-44de-4f7a-8592-39371fec14e2,,,Cambodia_Vietnamese,Cambodia_Vietnamese,Vietnamese,វៀតណាម,,,Misc,Text,,,,
466749c3-de90-4b4a-bc8f-5cf52ff1b83d,,,Cambodia_Chinese Hakka,Cambodia_Chinese Hakka,Chinese Hakka,ចិន ខិ (ហាក់កា),,,Misc,Text,,,,
a91ac552-4988-4946-a28f-de09e23e2e3d,,,Cambodia_Chinese Kantang,Cambodia_Chinese Kantang,Chinese Kantang,ចិនកន្តាំង,,,Misc,Text,,,,
dd518ad6-1797-46e7-b589-c4fe02d4d6ad,,,Cambodia_Chinese Hokkien,Cambodia_Chinese Hokkien,Chinese Hokkien,ចិនហុកកៀន,,,Misc,Text,,,,
b6c381c2-bd44-4ba2-a9c5-d16ad04007e8,,,Cambodia_Chinese Teochew,Cambodia_Chinese Teochew,Chinese Teochew,ចិនទាជីវ,,,Misc,Text,,,,
be5b4e33-5ece-4f66-9a85-00eb194535c2,,,Cambodia_Other,Cambodia_Other,Other,ផ្សេងៗ,,,Misc,Text,,,,
c8b01687-086e-4f7e-ad0d-db77c423a2a7,,,Cambodia_Nationality,Cambodia_Nationality,Nationality,សញ្ជាតិ,,,Question,Coded,Cambodia_Khmer; Cambodia_Cham; Cambodia_Kuy; Cambodia_Phnong; Cambodia_Tampuan; Cambodia_Jarai; Cambodia_Krung; Cambodia_Prov; Cambodia_Kavet; Cambodia_Kachok; Cambodia_Stieng; Cambodia_Kraol; Cambodia_Mil (Kachrouk); Cambodia_Thmon; Cambodia_Khounh; Cambodia_Somray; Cambodia_Por; Cambodia_Sa Ong (Suoy); Cambodia_Sa'och; Cambodia_Lao; Cambodia_Vietnamese; Cambodia_Chinese Hakka; Cambodia_Chinese Kantang; Cambodia_Chinese Hokkien; Cambodia_Chinese Teochew; Cambodia_Other,,,
